code;omschrijving
8040;Gilberteilanden
8041;Panamakanaalzone
8042;Saint Kitts, Nevis en Anguilla
8043;Belau
8044;Palau
8045;Antigua en Barbuda
9000;Newfoundland
9001;Nyasaland
9003;Eritrea
9005;Ifni
9006;Brits-Kameroen
9007;Keizer Wilhelmsland
9008;Congo
9009;Congo-Kinshasa
9010;Madagaskar
9013;Congo-Brazzaville
9014;Leewardeilanden
9015;Windwardeilanden
9016;Frans Territorium voor Afars en Issa's
9017;Phoenixeilanden
9020;Portugees-Guinee
9022;Duits Zuidwest-Afrika
9023;Namibië
9027;Brits-Somaliland
9028;Italiaans-Somaliland
9030;Nederlands-Indië
9031;Brits-Guyana
9036;Swaziland
9037;Qatar
9038;Eswatini
9041;Aden
9042;Zuid-Arabische Federatie
9043;Equatoriaal-Guinea
9044;Spaans-Guinee
9047;Verenigde Arabische Republiek
9048;Bermuda
9049;Sovjet-Unie
9050;Duits Oost-Afrika
9051;Zanzibar
9052;Ceylon
9053;Muscat en Oman
9054;Trucial Oman
9055;Indochina
9056;Marshalleilanden
9057;Sarawak
9058;Brits-Borneo
9060;Sabah
9061;Abu Dhabi
9062;Ajman
9063;Basutoland
9064;Bechuanaland
9065;Fujairah
9066;Frans-Kameroen
9067;Johore
9068;Korea
9069;Labuan
9070;Umm Al-Qaiwain
9071;Oostenrijk-Hongarije
9072;Portugees Oost-Afrika
9073;Portugees West-Afrika
9074;Sharjah
9075;Straits Settlements
9076;Abessinië
9077;Frans West-Afrika
9078;Frans Equatoriaal-Afrika
9081;Urundi
9082;Ruanda-Urundi
9084;Goa
9085;Dantzig
9086;Centraal-Afrikaanse Republiek
9087;Djibouti
9088;Transjordanië
9089;Bondsrepubliek Duitsland
9090;Vanuatu
9091;Niue
9092;Spaans Noord-Afrika
9093;Westelijke Sahara
9094;Micronesia
9095;Svalbardeilanden
9999;Internationaal gebied
